bleed_rate_high	HIGH
mainmenu_multiplayer	MULTIPLAYER
ammo_32acp_fmj_name	.32 ACP Full Metal Jacket Ammo
equipment_flare_distraction_01_description	This firework overloads a machine's threat-identifying circuits.
warboard_archipelago_payback_02a_summary	The military intercepted the coordinates of a device that seemed to be used by the enemy as a deployment beacon. This would explain the origin of the machines found at the Iboholmen Castle. Destroying these beacons could prevent the enemy from sending reinforcements to the drop spot.
mission_wm_17_missionitem_02_content	World Mission 17 - Mission item 2 content
animal_gender_male	MALE
worldmission16_info_description	A Vråken strike fighter was taken down by what appears to be friendly fire, although no such orders have been issues. In her last communication, the pilot mentioned that her destination was Fort Torsberga and her orders were to open fire on the batteries. Based on her last coordinates, the plane should be in the Sävered region, possibly near Gunderbergsvägen or Ängsnäsvägen.
machine_skir_classb_name	RUNNER
equipment_stats_weapon_aim_fatigue_label	AIM FATIGUE 
collectable_gnome_12_purple	Purple Gnome
tut_perks	Spend perk points to unlock new weapon proficiencies. Perk points are acquired at certain character levels.
interface_buy	BUY
tut_codex_heartrate_header	HEART RATE
option_value_color_malachite	MALACHITE
emote_sit_name	[TEMP] Emote Sit
player_character_part_name_glasses_07_c	Pilot glasses, black
ach_053_description	Discover 5 bunkers.
mission_wm_09b_missionitem_02_header	Johan's handwritten note to his son
option_value_glow	GLOW
credits_category_06	GAME DESIGN
warboard_mountains_payback_pb_title	Disruption in Manufacturing
poi_title_location_bunker	Bunker
worldmission19_obj01	Find the farm house
mp_sending_to_unknown_user	Sending to unknown user:
attachment_muzzle_compensator_handgun_01_description	A compensator attachment for select revolver handguns. Attaching this mod will reduce the recoil of the weapon, improving accuracy over multiple shots.
wpn_submach_9mm_02_description	The Swedish army's 9mm submachine gun. Trades a slower rate of fire for a higher damage output.
collectable_mixtape_12_car_karaoke_desc	Grégouuuze - Car Karaoke songs!!!
mpmenu_who_can_join	WHO CAN JOIN
mpmenu_preferred_lang_polish	Polish
equipment_stats_callers_range_label	RANGE
warboard_mountains_answers_04bobj_02	Discover what was being transported on rail
tut_exhaustion	You can't hold your breath to steady your aim if your heart rate is too high.
worldmission_gc_obj05_1	Find a way to send a distress call
warboard_marshlands_safety_sdobj_01.2	Look for the private pier
collectable_gnome_18_santa	Jultomten
equipment_sight_rifle_scope_name	1-4x 24 Rifle Scope
mission_wm_46_missionitem_02_content	World Mission 46 - Mission item 2 content
wpn_handgun_semiauto_9mm_01_description	A reliable, medium-power 9mm semi-automatic pistol. It is the standard-issue pistol for the Swedish police in 1989.
mission_gotland_boss_fnix_m_yy_01	You are still here. I did not expect that. Should I fear you, or be proud of you? In a way, I created you.
popup_profile_signout_xb1	You will be returned to the title screen where you will be able to sign in to your profile.
collectable_gnome_09_light	Light Side Gnome
equipment_fieldradio_description	A field radio creates a mobile rendezvous point for your friends, allowing them to fast-travel to that spot.
animal_gender_female	FEMALE
player_character_part_name_wrists_01_c	Valley girl watch, pink
option_manual_weapon_reload_name	MANUAL RELOAD
equipment_stats_scent_uses_label	USES
warboard_southcoast_payback_03obj_03	Turn on the power in the fort
collectable_mixtape_06_language_tape_desc	Learn Swedish the Easy Way, Vol. 15,184
mission_wm_17_missionitem_01_header	World Mission 17 - Mission item 1 header
ach_042_description	Read 10 unique sayings in homes.
enemy_info_difficulty_0_title	EASY
tut_leaderboards_ps4	Leaderboards show your highest scoring animal for each species and how it compares to those of your friends.
mission_wb_r6_missionitem_01_header	Generator note
collectable_blueprint_06_seeker_classc_desc	According to the blueprint, this updated version of the Seeker is fitted with even more advanced sensory equipment, including some sort of X-Ray device, to detect threats even through barriers.
worldmission45_1name	Tomb Raiding
equipment_stats_scent_affected_species_range_label	AFFECTED SPECIES
ach_080_description	Escape a combat encounter without killing all enemies 10 times.
player_character_part_name_hair_08_b	Crew cut, brown
attachment_mag_extended_assault_01_description	An extended magazine that fits onto all assault rifles. Attaching this mod will increase the weapon's ammo capacity by 13 shots.
worldmission33_3description	The recording talks about someone taking bags to a Prospect Tunnel and leaving without. Maybe it would be worth investigating
player_character_part_name_hair_01_b	Layered bob, brown
warboardmission_safety02_obj_01	Find out the exact location of the relay tower
player_character_part_name_hair_06_g	Metalhead, pink
animal_health_header	HEALTH
equipment_ingredient_tape_name	Duct Tape
player_character_part_name_hair_10_b	Short with bangs, brown
leaving_streaming_install_area_warning	LEAVING STREAMING INSTALL AREA
mission_wb_pm_01_missionitem_02_content	Shortly before the attack, the dispatch team at Iboholmen Castle apparently managed to track an emitter using a known enemy signature. Its coordinates seem to indicate the nearby South shoreline of Iboholmen, indicating that the machines originally came from there.
skill_02_name_12	REVIVE SPEED
interface_ban	BAN
message_safe_house_unlocked	SAFE HOUSE UNLOCKED
mission_wm_32_missionitem_01_content	To whoever likes taking on a challenge:
I have left some equipment on the highest place of the island. Are you up to the task for some cool swag?

Just don't take all of the stuff, leave some for other daredevils.

Enjoy the sights!
player_character_part_name_shoes_04_p	Skate shoes, red/black
player_character_part_name_glasses_02	Pilot glasses
interface_track	TRACK
equipment_stats_general_cost_label	COST
attachment_mag_extended_handgun_32acp_01_name	Möller PP Extended Magazine
region_archipelago_name	Archipelago Region
popup_header_offline_explain_not_signedup_psn_ps4	Offline Mode
player_character_part_name_head_m_01	M Head 1
equipment_ingredient_pest_part_01_description	Pieces of a broken 'Tick' machine. Can be used to craft a new one.
presence_region_northcoast	In the Farmlands Region
interface_msg_insufficient_skill	Sorry, you cannot afford this Skill. Get more Skill Points by doing stuff!
tobii_tracker_name	TRACKER ENABLED
option_hudpreset_value_clean	CLEAN
equipment_emp_batterypack_large_01_name_short	Large EMP
player_character_part_name_pants_02_b	Suit pants, light gray
mission_wm_46_missionitem_01_content	Report, talking about a heavy delivery at the northern radio mass storage."
player_character_part_name_shirt_01_h	T-shirt, red
player_character_creation_category_label_eyewear	Eye Wear
mission_im_03b_missionitem_05_content	This seems to be a map of Salthamn village, with street names and house numbers specified.
player_character_part_name_shoes_03_d	Moon boots, red
popup_header_controller_disconnected_xb1	Controller Disconnected
popup_header_age_restricted_ps4	Age Restriction
map_legend_landmark_name	Landmark
location_marshlands_bas90_01	Anl 118 Färela
option_textures_name	TEXTURE RESOLUTION
mission_wm_34_missionitem_01_content	Placeholder recording
skill_03_description_09	Decreases visibility to enemies.

Level 1: 20% less visible

Level 2: 40% less visible 


mission_wm_28_missionitem_02_header	World Mission 28 - Mission item 2 header
collectable_gnome_15_bronze_desc	An alloy gnome made primarily from copper, tin and disappointment. He had his moment of glory for a while, but gradually disappeared when iron gnomes became more common.
warboard_gotland_boss_desc	With the keycard and device provided by the Russians, you should be able to enter the FOA bunker and reach the thing - FNIX - that seems to be behind all of this. The keycard you picked up at Von Ulmer's house will grant you access to the inner FOA 53 Lab. It is time to try and put an end to all of this.
worldmission02_huntermate_description	A letter was sent to a hunter living in Björknäs on Iboholmen. Maybe his hunting equipment will still be in his house.
player_character_part_name_hair_05	Mohawk
skills_reset_skill_tree_header	WARNING!
location_farmlands_stoneship_bergaskeppet	Bergaskeppet
equipment_stats_optics_reticle_description	The type of view when looking through this optic device.
mission_wm_32_missionitem_01_header	A challenge
player_character_name_alexander	E
map_legend_mission_hint_name	Mission hint
player_character_part_name_handwear_04_j	Knitted gloves, purple
worldmission37_obj01	Find the gas station
equipment_flare_lure_01_description	An emergency road flare that machines see as a target. Medium-range lure, high effectiveness.
player_character_part_name_pants_04_a	Denim pants, dark blue
mpmenu_preferred_lang_german	German
option_action_itemslot_8	DRAW WEAPON / ITEM SLOT 8
mission_wm_39_missionitem_02_content	World Mission 39 - Mission item 2 content
mission_wb_pm_03_missionitem_03_header	Letter from a soldier to his sister
popup_header_mp_connection_failed_unavailable	Connection Failed
player_character_part_name_wrists_01_d	Valley girl watch, green
globalblankstring	⎯⎯⎯⎯⎯⎯⎯▷
popup_header_no_profile_xb1	Not Signed In
option_pad_looksensitivity_name_ps4	LOOK SENSITIVITY
mission_wm_16_missionitem_01_header	Final warning communication by the pilot
mission_pm_sd_missionitem_01_content	FNIX message
location_farmlands_commandbunker_sorken	"Sorken" Command Bunker
option_vsync_desc	Controls vertical sync.
worldmission03_info_obj03	The machines got to them first. Search for anything left behind
location_archipelago_n_saltholmen_grantorp	Grantorp
inventory_attach_to_slot_1	ATTACH: WEAPON SLOT 1
equipment_sight_ba_rifle_270_illuminated_iron_name_short	270 Iron
ach_035_name	Walk This Way
worldmission07_obj03	Search the house for more info about the cairn
player_character_part_name_glasses_01_f	Spectacles, dark blue
equipment_stats_callers_response_type_label	RESPONSE TYPE
location_archipelago_s_saltholmen_skogsvik	Skogsvik jetty
skills_pointsspent	SKILL POINT(S) SPENT
region_forest_name	Forest Region
option_controller_mapping_general	GENERAL
credits_category_03	ART
machine_weapon_decription	Generic AI weapon.
huntermate_stat_lvl	LVL.
equipment_sight_rifle_scope_04_name_short	4-8x 32
attachment_muzzle_silencer_hunting_01_name_short	Hunting Rifle Silencer
mpmenu_who_can_join_anybody	Anybody
player_character_part_name_shirt_05	T-shirt
equipment_stats_ammo_penetration_description	A value that indicates the penetration ability of a projectile when it hits a target. This value is combined with the kinetic energy of a projectile upon impact to calculate the actual penetration depth.
option_action_holdbreath	HOLD BREATH
warboard_forestcity_answers_05obj_01	Locate the facility
intromission04_obj_02	Search the area for any information about the evacuation
social_restore_user_msg	social_restore_user_msg
attachment_vision_heat_night_01_name	Dual Mode Low Light / IR Module
team_screen_experience_title	EXPERIENCE
worldmission22_info_description	find the sniper - placeholder
equipment_stats_weapon_hipshot_description	The accuracy of a weapon when fired outside of aim mode.
equipment_lure_commarray_02_description	A medium-sized communications array, salvaged from the wreck of a destroyed machine. They can be placed on the ground and used as a lure, drawing other machines to its location across a wide area.
option_fur_desc	Adjusts the number of fur layers. Low performance impact.
location_mountain_church_st_maria	St. Maria Church
skill_03_name_08	
subregion_farmlands_dyrbo	Dyrbo
option_social_logged_in_status_desc	[TEMP] Shows current logged in status to HUNT CLUB BETA.
option_volume_master_desc	Adjust the volume of all audio.
equipment_radio_lure_name	Radio
worldmission20_obj03	Loot the supplies from the safehouse
equipment_subcat_deployables_ground_blinds_header	GROUND BLINDS
player_character_part_name_hat_04	Cap with mullet
playerstat_deaths	PLAYER CASUALTIES
codex_people	PEOPLE
log_screen_category_tutorials_header	TUTORIALS
interface_warboard_social_missions	BOUNTIES
tut_pulse_header	HEART RATE
tut_noise_spook_header	NOISE DETECTION
mission_im_03b_missionitem_01_header	Salthamn Civil Defense Contact List
location_northcoast_town_hagaboda	Hagaboda
mission_wm_09a_missionitem_02_content	"[...] According to the first details gathered at each crime scene by local police, the murders all took place between 1:00 and 3:00 am on Monday. On 4 of the scenes, neighbors heard gunshots, but as of now there hasn't been any eye witness on the perpetrator or their vehicle. We should probably write "perpretrators", as everything seem to point at a series of careful planned, cold-blooded executions.
What's even more troubling is that each of the 14 victims lived in the Östervik region, and 11 of them were employees at the Swedish National Defense Research Institute (FOA).
[...]
A visibly shaken Östervik Chief of Police Mats Hansson told us: "This is the first time such a tragedy has happened in this area. It's so quiet here usually. At this stage, we can't confirm any rumors or allegations, but I can tell you that we'll work with the national investigators and do our best to find who did this.[...]"
mission_wm_09b_info_summary	Johan left a treasure hunt for his son in their house at Kaseberg.
player_character_part_name_shoes_04_q	Skate shoes, black
tut_cabinet_header	LOCKER
player_character_part_name_hair_03_g	Mullet, pink
worldmission02_obj01	Find the hunter's house called Björknäs
signtranslation_embroidery_11	"Alone is strong"
(You can accomplish a lot on your own)
equipment_subcat_lures_scent_header	SCENTS
interface_msg_reset_insufficient_cash_header	ATTENTION!
tut_inventory_2	Now you have a weapon. Use {fire} to fire and {aim} to aim down sights. Do not forget to keep an eye on the ammo.
mission_wm_19_missionitem_01_header	World Mission 19 - Mission item 1 header
warboard_archipelago_payback_02a_desc	The machines at the Iboholmen Castle seem to have come from the shore.
player_character_part_name_hair_07_f	Metalhead with bandana, bright red
location_archipelago_s_saltholmen_mil_outpost_01	Saltholmstungan
location_archipelago_s_saltholmen_hastvik	Hästvik
warboard_southcoast_answers4_02_obj_05	Investigate Veronika's study
player_character_part_name_shirt_01_l	T-shirt, light blue/violet
skill_01_name_14	VANGUARD
skills_screen_skill_points_header	SKILL POINTS
animal_flesh_wound	FLESH WOUND
tut_basic_navigation_ps4	Move around using the left stick.
mp1050_obj_50	Harvest a wild boar
mission_wb_am_02_missionitem_02_header	Veronika's message to her parents
attachment_mag_extended_smg_9mm_01_description	An extended magazine for the HK5 submachine gun. Attaching this mod will increase the weapon's ammo capacity.
key_pc_pagedown	PAGE DOWN
player_character_part_name_hair_10_f	Short with bangs, ginger
intromission04_obj_06a	Examine the warboard
tut_codex_missions_header	MISSIONS
popup_header_connection_failed_xb1	Connection Failed
warboard_marshlands_safety_sdobj_01.1	Go to Ålnästet, on the northern shore of the Marshlands
player_character_part_name_shoes_02_e	Leather shoes, brown
missions_completed	COMPLETED MISSIONS
attachment_muzzle_silencer_shotgun_01_description	A silencer attachment that fits the Cacciatore 12G shotgun. Attaching this mod will noticeably reduce the noise created by each shot but the damage dealt by the shells will be reduced as well.
option_subtitles_name	SUBTITLES
worldmission30_obj02	Search for anything useful, left behind
player_character_sub_category_name_backpack_01	Wanderer's backpack
player_character_part_name_head_f_07	F Head 7
player_character_sub_category_name_glasses_04	Gas mask
interface_assign	ASSIGN
organ_hardpoint_fuel	FUEL TANK
equipment_stats_bow_magazine_capacity_label	MAGAZINE SIZE
mpmenu_server_distance_close	CLOSE
enemy_info_weapon_title	WEAPON:
warboard_forestcity_answers_05_title	The Gas Factory
signtranslation_musli	MUSLI
With raisins and nuts
Only 15.95 kr
equipment_stats_backpacks_capacity_increase_label	CAPACITY INCREASE
player_character_part_name_shoes_04_c	Skate shoes, red/white
worldmission27b_obj01	Follow the trail left behind
player_character_part_name_shoes_04_b	Skate shoes, white/red trim
worldmission34_2summary	Discover the werabouts of the military group
player_character_sub_category_name_jacket_06	Varsity jacket
collectable_blueprint_12_hunter_classc	Hunter (FNIX)
skill_02_description_06	Increases the healing amount when using medkits.

Level 1: +20% heal amount

Level 2: +40% heal amount

Level 3: +60% heal amount
region_farmlands_name_uppercase	FARMLANDS 
player_character_part_name_hair_06_c	Metalhead, dark blond
wpn_submach_9mm_01_name_short	HK5
mission_wm_27a_missionitem_01_header	Weapon location
presence_ingame	In Game
collectable_blueprint_03_tick_classc_desc	According to the blueprint, this is an updated version of the Tick with more advanced armor plating. It also indicates that a rigging has been setup to possibly attach some kind of syringe-like probe, but it isn't visibly present in the blueprint. 

Loadout: 
Laceration jump attack
Self-detonating explosive
ach_081_description	Create a second character.
equipment_stats_sights_compatible_weapons_label	COMPATIBLE WEAPONS
player_character_part_name_shoes_04_e	Skate shoes, green/white
interface_msg_inventory_full	Your inventory is full. Please drop items to free up some space.
ach_023_description	Kill 15 Tanks.
location_farmlands_boo_farm_hammarnas	Hammarnäs Farm
player_character_part_name_hair_06_e	Metalhead, light blond
warboard_gotland_bossobj_01	Unlock the FOA bunker doors using the Russian keycard
player_character_part_name_pants_06_e	Punk skirt, black/yellow
interface_msg_kicked	You were kicked from the server.
player_character_part_name_handwear_01	Gold rings
signtranslation_yttervik	"YTTERVIK"
(Outer bay)
ach_061_description	Complete all Intro missions.
player_character_part_name_shirt_02_c	Tucked collared shirt, gray/blue
tut_first_aid_console	First aid kits can be used to restore health for yourself. If you have unlocked the appropriate skill, you can heal others. Equip it to an equipment slot and use {fire} when selected to heal.
worldmission07_obj01	Discover the cairn on top of the hill
character_customization_header	CHARACTER CUSTOMIZATION
credits_category_16	PARTNERS AND ASSOCIATES
signtranslation_none	NO TRANSLATION
equipment_lure_commarray_01_name	Light Comm. Array Lure
worldmission11_info_name	Beyond the Barricade
worldmission04_obj01	Search the surrounding area for a gun
popup_dont_own_reserve	You do not own the requested reserve. Entering Hirschfelden Hunting Reserve instead.
ach_087_description	Apply medpacks to 3 unique players.
equipment_propane_tank_04_air_name_short	Air Tank
huntermate_mp	MULTIPLAYER
region_marshland_name	Marshlands Region
tut_vision_spook_header	VISIBILITY
collectable_gnome_05_evil	Evil Gnome
worldmission28_info_2summary	Find the left-behind supply cache
ach_090_description	Have 25 other players spawn on your deployed radio.
player_character_facepaint_name_makeup_l	Makeup, green
poi_title_mission_other_c	Safety Mission
mainmenu_character_select	SELECT CHARACTER
collectable_gnome_13_rainbow_desc	A gnome that loves peace and harmony. You won't find him above a chimney top, though.
worldmission03_obj02	Find any clues to where everyone is
location_forest_hamlet_lerberget	Lerberget
ach_012_name	Gunslinger
equipment_stats_first_aid_kit_uses_label	USES
option_action_look_down	LOOK DOWN
key_bunkerkey_foav2_description	Barcode identifier for outer FOA Headquarters doors
tut_hunting_pressure	When an animal is harvested, hunting pressure is added to the surrounding area. Animals will avoid any area affected by hunting pressure.
mission_wm_03_missionitem_02_header	Handwritten instructions found at Skarven
mission_wm_14_missionitem_02_header	World Mission 14 - Mission item 2 header
ammo_556_ap_name	5.56mm Armor-Piercing Ammo
equipment_optics_binoculars_name	Vantage 8x42 Binoculars
playerstat_cabins_name	CABINS
worldmission23_info_description	The radio recording is about a group of people that tried to get help at the military airfield. Unfortunately a group of machines intercepted them and there was nothing else reported from this matter.
equipment_stats_callers_vocal_variable	Vocal
key_doorkey_norrmyra_description	The key has a label on it named "Evil Yellow Robot marks the spot...."
player_character_part_name_hair_06_d	Metalhead, red
option_pad_vibration_name_ps4	VIBRATION
collectable_category_mixtapes	Mixtapes
mission_wb_am_02_missionitem_01_content	An answering machine message titled "Veronika Nilsson 10-11-1989 17:35:15 ". The voice recording says:

"An answering machine? You have got to be kidding me. Hey! Remember the weird stuff I said was going on at FOA 53? Well now you've got the blood of 11 dead scientists on your hands! It would have been 12 if I... Look, you need to stop the evacuation! This is not what you think, and I can prove it. Send someone to Adavägen 2 in Kålleby. Hurry! I... will you even listen to this? God damn it."
tut_reload	Press {RELOAD} to reload your weapon.
mission_wm_09b_missionitem_01_content	"Matilda,
I had to go back to my battalion early, so I won't get to say goodbye, sorry. I'll try to call tomorrow before Micke and Martin go to bed. Love you. 
Johan

- Nils, this here is for you.
-- THE AMAZING ADVENTURES OF NILS, chapter ?? --
BEWARE! Should the bad guys attack, the Brave and Fearless Adventurer Nils Andersson shall follow this riddle to find the treasure, "Rusty":
- Go to the balcony
- Look where the sun rises
- Behold the famed Castle Nils
- Look for the royal chambers
Godspeed, Brave Adventurer"
shooting_range_name	SHOOTING RANGE
location_mountain_villa_ramsberga	Ramberga
key_doorkey_vonulmersafe_description	The key has a label on it named "Von Ulmer office safe"
skill_02_description_12	Lowers the time it takes to revive a downed teammate.

Level 1: 25% faster revive

Level 2: 50% faster revive
equipment_stats_sights_magnification_label	MAGNIFICATION
collectable_mixtape_22_pets_playtime_name	Pets playtime!
ach_014_name	Gangster
player_character_part_name_pants_01	Jeans
popup_save_delete	There is no save game backup. Do you want to delete your save game?
ammo_762_fmj_name_short	7.62mm FMJ
tut_codex_animalcalls_header	ANIMAL CALLS
key_doorkey_weaponstore_01_descriptionasd	The key has a label on it named "Weapon Storage"
option_action_chat_team	TEAM CHAT MESSAGE
mpmenu_name	SERVER NAME
warboard_farmlands_02_summary	Unlock the Farmlands Command Bunker
location_forest_bas90	[TEMP] Forest Airplane Bunker
player_character_part_name_hair_01_c	Layered bob, dark blond
inventory_quick_access	QUICK ACCESS
player_character_part_name_shoes_06_d	Kardborreband sneakers, blue
player_character_part_name_shirt_02_d	Tucked collared shirt, brown
option_window_desc	Set how the game is displayed.
popup_mp_connection_timeout	Your connection attempt to the multiplayer session has timed out.
mpmenu_minimum_numplayers	MINIMUM PLAYERS
pausemenu_exit_to_main	EXIT TO MAIN MENU
inventory_available_ammo	AVAILABLE AMMUNITION
collectable_dalahast_02_black_desc	A black Dala horse with a white and gold harness. Dala horses (also known as Dalecarlian horses) were originally carved in houses in the Swedish province of Dalecarlia.
machine_weapon_skirmisher_launcher_name	HEDP LAUNCHER
player_character_part_name_glasses_07_d	Pilot glasses, red
signtranslation_blandfars	MIXED MINCE
Pork / beef
This week only!!!
equipment_maincat_lures_header	LURES
error_message_03	Fatal D3D error.
mission_wm_36_missionitem_01_content	There have been an unknown dropout of containers on the marshlands region. The shipping party or the container content is unknown. This should be investigated as soon as possible.
worldmission44_3description	Someone left a cache behind at the northern island, for his friend. Assuming it was not looted, it might be worth investigating.
ach_008_name	Marksman
player_character_sub_category_name_hat_01	Knit cap
warboard_mountains_payback_pbobj_08	Escape the factory !
player_character_part_name_jacket_06_a	Varsity jacket, black/white
player_character_part_name_backpack_01_e	Wanderer's backpack, pink
ach_074_description	Loot something while wearing an eyepatch.
player_character_part_name_hair_13_b	Hi-top, brown
player_character_part_name_shoes_06_f	Kardborreband sneakers, pink
player_character_part_name_wrists_03_d	Punk wristband, red
player_character_part_name_jacket_07	Punk jacket
mission_im_03a_missionitem_02_content	The answering machine message says:

"Hey, this is Anita! So sorry I couldn't call earlier. It's been busy as hell here. Where the hell are you guys? Everyone in the area needs to get to the bomb shelter asap. Call Johnny at the church and see if he can give you a ride to Salthamn. He knows Dad can't really drive anymore... Okay, talk later!"
BountiesCompleted	Bounties Completed
collectable_dalahast_01_classic_desc	A bright red Dala horse with a harness in blue and white. This traditional style has become the most widespread in modern times, and has even come to symbolize Sweden in general.
player_character_creation_category_label_back	Back
player_character_ethnicity_white	1
location_mountain_campground_sandnas	Sandsnäs 
mission_wb_pm_03_missionitem_01_header	Top secret orders "Gun Control"
credits_category_10	MARKETING, COMMUNICATION, & PUBLIC RELATIONS
character_customization_sex_name	SEX
warboard_farmlands_safety_04obj_02	Search for the supply depot
multiplayer_matchmaking_header	MATCHMAKING
playerstat_level	LEVEL
poi_title_mission_other_a	Payback Mission
mp1030_desc	Be the first to hit an animal at least {d:200} away
option_pad_aimsensitivity_name	AIM SENSITIVITY
tut_perks_header	PERKS
worldmission41_1name	The Spotter
popup_header_join_session_failed_host_lost_ps4	Failed To Connect
mission_wm_33_missionitem_02_header	World Mission 33 - Mission item 2 header
tut_scent	An animal has picked up your scent. Your scent travels in the direction of the wind, and can alarm animals that pick it up.

The green cone in the compass indicates the current wind direction.
player_character_part_name_pants_09_g	Short pleated skirt, yellow/black
equipment_emp_batterypack_car_01_name	Car Battery EMP
warboardunlock_mission_obj_05	Find the Warboard in the Uttern Bunker
location_southcoast_hisinganaset_farm_tokerod	Tokeröd Farm
machine_weapon_skirmisher_smg_name	SUBMACHINE GUN
mission_wm_26_missionitem_01_header	Request for backup
location_forest_hamlet_stillsjon	Stillsjön
player_character_part_name_hat_03_c	Cap forward, black/brown
mainmenu_gallery	GALLERY
player_character_sub_category_name_glasses_03	Eye patch
ammo_launcher_smoke_description	A smoke-producing round which does no damage but provides a smoke screen to tactically operate within.
player_character_part_name_pants_10_d	Tucked jeans, red
mainmenu_settings	SETTINGS
player_character_part_name_pants_09_e	Short pleated skirt, pink/black
player_character_part_name_handwear_02_i	False nails, green
player_character_preset_punk_variation_1_name	STYLE 1
popup_header_no_character_created	NO CHARACTER CREATED
skills_category_strategic	OUTFITTER
mission_wm_33_missionitem_02_content	World Mission 33 - Mission item 2 content
equipment_sight_revolver_357_illuminated_iron_name_short	357 Iron
tut_shooting_range	Shooting ranges allow you to practice shooting without spending ammunition. You can host competitions with your friends as well.
skill_03_name_13	SURVIVOR
mainmenu_quit	QUIT
warboard_farmlands_04_obj_02.2	Read the technical description
ach_066_name	Kill Switch
worldmission03_info_description	The letter found in Anita's office at the Iboholmen Castle mentions a bunker with the code name "Skarven" and that recently fell into disuse. It is possible that locals who knew about its existence would try to find shelter there. It is located somewhere on Norra Saltholmen, close to the Saltholmen Church.
ach_008_description	Kill an enemy with the kill shot fired from a distance of more than 300 m.
message_combat_escaped	ESCAPED COMBAT
collectable_blueprint_01_tick_classa_desc	A small machine with the ability to jump and use it's sharp legs to do laceration damage. It is quick, but only has a single weak armor plate. It burns through its battery quickly and will eventually lose function if not destroyed.

Loadout:
Laceration jump attack
skill_03_description_04	Increases the maximum amount of health your character has.

Level 1: 10% health increase

Level 2: 20% health increase

Level 3: 30% health increase
attachments_title	ATTACHMENTS
mission_wm_31_missionitem_01_content	Recording talking about the accident and a "Metal Wolf"
worldmission26_info_1name	Scrap Metal
key_pc_numpad_plus	NUMPAD PLUS
worldmission_bcd_1name	Seeking Answers
worldmission24_info_name	Unwrapping the present
map_marker_general_safehouse	Safehouse
worldmission33_1name	Prospect Tunnel
animal_species_header	SPECIES
lore_station_name	POINT OF INTEREST
skill_01_name_12	TRIGGER HAPPY
demo_back_to_game_label	BACK TO GAME
mission_am_sd_missionitem_06_header	header 6
status_attribute_damage_resistance_label	Damage Resistance
player_character_part_name_pants_07	Punk pants
wpn_shotgun_pump_12ga_01_name_short	12-Gauge
equipment_stats_sights_zero_distance_description	Projectile trajectories are affected by gravity, but sights can be configured to compensate for this, so that the target is hit when the sight is centered on it from a particular distance. This is called the zero distance. If a projectile is fired closer or farther away from this distance, the shooter needs to compensate for bullet drop by either aiming below (closer than zero distance) or above (farther away than zero distance) the target.
ach_042_name	Folk Wisdom
mission_wm_43_missionitem_02_content	World Mission 43 - Mission item 2 content
player_character_facepaint_name_makeup_i	Makeup, lipstick and shaded eyes
e3_radio_m_xx_01_eng	Anderhage, the evacuation is complete. Return to base, over. (silence) Lieutenant? We will lock Vesslan down in 10, what is your status, over. (silence) Anderhage!? God damn it.
ach_064_name	Spy Games
mission_wm_03_missionitem_03_header	Radio Recording found at Skarven
key_doorkey_protokey_name	Floppy Disk
region_city_name_uppercase	CITY REGION
interface_msg_disconnect	Disconnected from server.
worldmission08_info_summary	A note mentions a safehouse on the East shore of Norra Saltholmen
option_pad_aimsensitivity_desc_xb1	Adjust the right stick sensitivity when in aim mode.
mission_wb_am_01_missionitem_04_header	Saltholmen Naval Base message
collectable_mixtape_18_char_emil_name	Svensktoppen 1989 / Emils Radiohits
location_ostervik_warehousedistrict	Österviks Industriområde
mp_header_finding_game	Finding game
option_section_title_display	DISPLAY
equipment_stats_scent_camo_label	SCENT REDUCTION
ach_062_description	Complete the Payback Showdown mission.
collectable_mixtape_06_language_tape_name	Learn Swedish the Easy Way, Vol. 15,184
presence_region_marshlands	In the Marshlands Region
popup_patch_required	You need the latest version of the game to use online features.
skill_01_name_11	
tut_tracking_header	TRACKING
player_character_part_name_wrists_04	Festival wristband, red
player_character_part_name_shoes_03	High sneakers
equipment_consumable_firstaid_standard_name	Standard First Aid Kit
warboard_marshlands_payback_06_desc	The machines have bunkered in the Norrmyra base and are using it for resupply runs. Destroying their supply station will hinder their activity
option_window_name	WINDOW
equipment_stats_optics_rangefinder_description	This indicates if this device contains a built-in rangefinder that can be used to gauge the distance to objects in the world.
inventory_two_handed_weapons_title	PRIMARY
location_farmlands_overby_overbygard	Överby Gård
equipment_stats_arrow_units_label	ARROWS
inventory_backpack_title	BACKPACK
mpmenu_preferred_lang	PREFERRED LANGUAGE
log_screen_mission_attachments_header	Mission items
equipment_stats_optics_magnification_label	MAGNIFICATION
signtranslation_godislosvik	BULK CANDY
11.95 kr / kg
More than 20 varieties!
worldobject_mp_player_limit_reached	MAX CAPACITY REACHED
undicovered_name	UNDISCOVERED
mission_wm_21_missionitem_02_content	World Mission 21 - Mission item 2 content
collectable_blueprint_18_harvester_classc_desc	This upgraded version of the Harvester has stronger metal alloy armor plating making it even more difficult to take down. In addition it is fitted with the ability to carry Tick deployment pods, together with all the other armament loadouts.

Loadout:
Missiles
Concussion pulse
Gas release
Tick deployment
Melee stomp
mission_wm_15_missionitem_01_content	"Convoy G01, code name CCCP-974, confirm position. This is FH. Last confirmed checkpoint was 23:48 hours. Confirm status of cargo and ETA. I do not need to remind you how important your assignment is, as well as the requirements you chose to comply with. Use channel 832 for response. Terminating communication."
